温馨提示,#genre#
Now英超1台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=vmPzGc&tk=gHjFmycJxUNM
Now668台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PUrTi7&tk=gHjFmycJxUNM
Now641台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AcoKE6&tk=gHjFmycJxUNM
HOY77,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Iq6WiG&tk=gHjFmycJxUNM
HOY78,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7NpgUO&tk=gHjFmycJxUNM
中天亚洲,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IJlVn3&tk=gHjFmycJxUNM
中天综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=8vSH0t&tk=gHjFmycJxUNM
中天娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=x5lFSo&tk=gHjFmycJxUNM
中天亚洲(备),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qq4Fxs&tk=gHjFmycJxUNM
民视第一,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IFl4Kw&tk=gHjFmycJxUNM
民视台湾,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=gbPsvX&tk=gHjFmycJxUNM
美亚电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=bOSP6K&tk=gHjFmycJxUNM
东森超视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wfKRC6&tk=gHjFmycJxUNM
东森综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lY4RMi&tk=gHjFmycJxUNM
八大第一,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cYZUee&tk=gHjFmycJxUNM
八大综合,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FAx4zd&tk=gHjFmycJxUNM
爱尔达娱乐,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JEpXn1&tk=gHjFmycJxUNM
Channel5HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=xNiyD0&tk=gHjFmycJxUNM
Channel8HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=I0UssR&tk=gHjFmycJxUNM
ChannelUHD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QcMC54&tk=gHjFmycJxUNM
八度空間,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZGFMc5&tk=gHjFmycJxUNM
天映頻道HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PYK5rS&tk=gHjFmycJxUNM
天映經典HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IXyPQs&tk=gHjFmycJxUNM
寰宇新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=aFCuyJ&tk=gHjFmycJxUNM
中天新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nwqDmQ&tk=gHjFmycJxUNM
中天新闻2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ylVM9q&tk=gHjFmycJxUNM
中天新闻2(备),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=nBPoa5&tk=gHjFmycJxUNM
中视新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mGsHiF&tk=gHjFmycJxUNM
TVBS HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ORh2GK&tk=gHjFmycJxUNM
台视新闻,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ecl4iR&tk=gHjFmycJxUNM
动物星球,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uvoRhG&tk=gHjFmycJxUNM
astro Boo,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7AIjT9&tk=gHjFmycJxUNM
爱奇艺,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=MrYySD&tk=gHjFmycJxUNM
极速央视,#genre#
CCTV1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wvAp93&tk=gHjFmycJxUNM
CCTV2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=OXimGl&tk=gHjFmycJxUNM
CCTV3,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0twoQn&tk=gHjFmycJxUNM
CCTV4,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=mE673B&tk=gHjFmycJxUNM
CCTV5,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=d5XmJD&tk=gHjFmycJxUNM
CCTV5+,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QfRcwz&tk=gHjFmycJxUNM
CCTV6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=5oAKSR&tk=gHjFmycJxUNM
CCTV7,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=M5ndp0&tk=gHjFmycJxUNM
CCTV8,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lDduIG&tk=gHjFmycJxUNM
CCTV9,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LOA9L1&tk=gHjFmycJxUNM
CCTV10,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=HMlA6j&tk=gHjFmycJxUNM
CCTV11,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=XtXrns&tk=gHjFmycJxUNM
CCTV12,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=d1Ezsh&tk=gHjFmycJxUNM
CCTV13,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Ng74Tz&tk=gHjFmycJxUNM
CCTV14,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=UZRfCp&tk=gHjFmycJxUNM
CCTV15,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=dSmYEM&tk=gHjFmycJxUNM
CCTV16,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ricKQ2&tk=gHjFmycJxUNM
CCTV17,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=3h9PTx&tk=gHjFmycJxUNM
CHC家庭影院,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=P6UwvG&tk=gHjFmycJxUNM
CHC影迷电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2zYuwH&tk=gHjFmycJxUNM
CHC动作电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=BoL4bA&tk=gHjFmycJxUNM
极速卫视,#genre#
湖南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ybF4Uu&tk=gHjFmycJxUNM
浙江卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yEcHUL&tk=gHjFmycJxUNM
江苏卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Iu4zsI&tk=gHjFmycJxUNM
山西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EE4zuX&tk=gHjFmycJxUNM
广东卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=P55iC6&tk=gHjFmycJxUNM
东方卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Kw5xns&tk=gHjFmycJxUNM
东南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Kb20VV&tk=gHjFmycJxUNM
辽宁卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SGrUX7&tk=gHjFmycJxUNM
深圳卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ljlvbP&tk=gHjFmycJxUNM
北京卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=W6XJQj&tk=gHjFmycJxUNM
广西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Zk4mdM&tk=gHjFmycJxUNM
天津卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=71gloO&tk=gHjFmycJxUNM
安徽卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AT9GNb&tk=gHjFmycJxUNM
河北卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=lFRYKn&tk=gHjFmycJxUNM
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=teAzeW&tk=gHjFmycJxUNM
吉林卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Iht11S&tk=gHjFmycJxUNM
黑龙江卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cEyCyi&tk=gHjFmycJxUNM
山东卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=F1CYza&tk=gHjFmycJxUNM
海南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=FtghLV&tk=gHjFmycJxUNM
贵州卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=0Khlfv&tk=gHjFmycJxUNM
湖北卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=S0ADq2&tk=gHjFmycJxUNM
河南卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=L84Qns&tk=gHjFmycJxUNM
重庆卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WnnQg6&tk=gHjFmycJxUNM
四川卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=iEHOOw&tk=gHjFmycJxUNM
江西卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=LF1MNw&tk=gHjFmycJxUNM
宁夏卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=QCp9S2&tk=gHjFmycJxUNM
新疆卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Dcm5Z0&tk=gHjFmycJxUNM
内蒙古卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1xUy0z&tk=gHjFmycJxUNM
西藏卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4gwySX&tk=gHjFmycJxUNM
青海卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=PZIVyq&tk=gHjFmycJxUNM
兵团卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=9FYBNy&tk=gHjFmycJxUNM
极限体验_@,#genre#
极限电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Ayf6pm&tk=gHjFmycJxUNM
,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=&tk=gHjFmycJxUNM
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4 中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+ 体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7 国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8 电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
卡酷少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225654/index.m3u8
BTV纪实,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225729/index.m3u8
CETV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV-3,http://ott.mobaibox.com/PLTV/3/224/3221227018/index.m3u8
CETV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
山东教育电视台,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
厦门卫视,http://ott.mobaibox.com/PLTV/3/224/3221226996/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226516/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
CGTN英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTN纪录,https://livedoc.cgtn.com/500d/prog_index.m3u8
CGTN西语,http://livees.cgtn.com/1000e/prog_index.m3u8
CGTN法语,https://livefr.cgtn.com/1000f/prog_index.m3u8
CGTN阿语,http://livear.cgtn.com/1000a/prog_index.m3u8
CGTN俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8
凤凰资讯,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰中文,http://113.64.145.195:8081/hls/37/index.m3u8
凤凰香港,http://113.64.145.195:8081/hls/38/index.m3u8
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV1,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS
CCTV2,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS
CCTV3,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS
CCTV5,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000132/index.m3u8?IAS
CCTV6,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000380/index.m3u8?IAS
CCTV8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000373/index.m3u8?IAS
CCTV10,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000375/index.m3u8?IAS
CCTV11,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000497/index.m3u8?IAS
CCTV12,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000377/index.m3u8?IAS
CCTV13,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000516/index.m3u8?IAS
CCTV14,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000378/index.m3u8?IAS
CCTV15,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000501/index.m3u8?IAS
CCTV16,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000494/index.m3u8?IAS
五星体育,http://[2409:8087:5e08:24::15]:6610/000000001000/2000000002000000007/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000002000000007&IASHttpSessionId=OTT19594820240419041339000523
北京卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000173/index.m3u8?IAS
湖南卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000174/index.m3u8?IAS
东方卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000182/index.m3u8?IAS
四川卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000249/index.m3u8?IAS
安徽卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000368/index.m3u8?IAS
山东卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000364/index.m3u8?IAS
广东卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000341/index.m3u8?IAS
广西卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
江苏卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000177/index.m3u8?IAS
江西卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000522/index.m3u8?IAS
河北卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000487/index.m3u8?IAS
河南卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000248/index.m3u8?IAS
海南卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000262/index.m3u8?IAS
深圳卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
湖北卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000250/index.m3u8?IAS
山西卫视,http://[2409:8087:5e01:34::21]:6610/ZTE_CMS/00000001000000060000000000000318/index.m3u8?IAS
东南卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000502/index.m3u8?IAS
贵州卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000489/index.m3u8?IAS
辽宁卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
重庆卫视,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
黑龙江卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000175/index.m3u8?IAS
内蒙古卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000319/index.m3u8?IAS
宁夏卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000309/index.m3u8?IAS
陕西卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000313/index.m3u8?IAS
吉林卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000533/index.m3u8?IAS
云南卫视,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000305/index.m3u8?IAS
三沙卫视,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000208/index.m3u8?IAS
青海卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000320/index.m3u8?IAS
新疆卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000316/index.m3u8?IAS
西藏卫视,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000317/index.m3u8?IAS
